ticker,date,speaker,complexity_score,sentiment_score,generalizing_score,self_reference_score,forward_looking_ratio,quantitative_ratio,positive_tone_density,risk_keyword_density,complexity_score_zscore,sentiment_score_zscore,generalizing_score_zscore,self_reference_score_zscore,forward_looking_ratio_zscore,quantitative_ratio_zscore,positive_tone_density_zscore,risk_keyword_density_zscore,neg_sentiment_zscore,composite_risk_score,composite_risk_score_zscore,next_quarter_return,next_quarter_volatility,return_class,volatility_class,return_pred,return_proba,volatility_pred,volatility_proba,preset_group
ADBE,2023-09-14 17:00:00,,10.852725293348122,0.3642008438818565,0.0005078720162519,0.0487557135601828,0.005078720162519,0.0216353478923311,0.0074149314372778,0.0010157440325038,0.540038997047168,0.945907297636438,-0.0658794946457776,0.342884544417635,-0.5511686061164786,-0.9641062660232436,-0.0520010590513395,-2.5251526190687392,-0.945907297636438,-0.9770069732193364,-2.301076309873807,0.1803210355192309,0.0168355600419265,1,1,1,0.6526603442922115,1,0.5054827681955311,All Selected Companies
ADBE,2023-06-15 17:00:00,,10.887392347492284,0.3566205999999999,0.0003068425897514,0.0455149841464661,0.0057277283420272,0.0225017899151068,0.0092052776925437,0.0020456172650097,0.5861950785492475,0.7649344179966162,-0.7143933340500599,-0.5171630256033004,-0.2122250604328694,-0.8689133052888444,0.7135304380241408,-1.084692990477055,-0.7649344179966162,-0.4211441099748079,-0.9918913181475948,0.1178965340811674,0.0163435898738201,1,0,1,0.7417101380534216,0,0.4905186388481735,All Selected Companies
ADBE,2023-03-15 17:00:00,,10.77724575606037,0.3457023504273504,0.0003093102381688,0.047530673265285,0.0049489638107021,0.0200020620682544,0.0097948242086813,0.0023713784926281,0.4395447450606775,0.5042690493640843,-0.7064327872915921,0.0177747329211459,-0.6189336657080587,-1.1435496785452854,0.965613757531184,-0.6290583724153959,-0.5042690493640843,-0.2312608922396009,-0.5446726329693842,0.3557982921939044,0.0230013726938177,1,1,1,0.7455491567458691,0,0.4990137669907946,All Selected Companies
AMAT,2023-11-16 16:30:00,,8.142679295159468,0.2680055183946488,0.001447016918967,0.0556544968833481,0.0096838824577025,0.0294968833481745,0.0093499554764024,0.0027827248441674,-1.506048794707103,0.199841231787674,0.1443769914338888,0.3500183097902017,0.6164069204854625,0.4264271912976594,1.6928425272286158,-0.3053036438932668,-0.199841231787674,-0.6703978901293479,-1.2758574244158245,0.2557376504159236,0.0218451144934378,1,1,1,0.590697654734853,0,0.49801028816847737,All Selected Companies
AMAT,2023-08-17 16:30:00,,8.755927709671141,0.2707600343053173,0.0017887087758524,0.0526551145891559,0.0069312465064281,0.024035774175517,0.0070430408049189,0.002459474566797,-0.7200854115886869,0.263304102276626,0.8737942434896293,-0.2734754053362611,-1.0546711751847555,-0.6221043702315372,0.4419283912303595,-0.7152991935569291,-0.263304102276626,-0.5662295691407473,-1.0776110879057346,0.0914552372001638,0.0186520759218162,1,0,1,0.6918908005160663,1,0.5243808900005621,All Selected Companies
AMAT,2023-05-18 16:30:00,,8.318551768647438,0.257527874015748,0.0008313415774706,0.0502961654369739,0.0080016626831549,0.0166268315494128,0.0044684609789047,0.0043645432817208,-1.2806436880830925,-0.0415592210730617,-1.1699189354469106,-0.7638396958557876,-0.4048398651813333,-2.044619455614629,-0.9541259745542388,1.7010009602320513,0.0415592210730617,0.1539721644073402,0.29302975442625,0.0918179439082043,0.0225854630182509,1,1,1,0.698505265780996,1,0.5179381601953459,All Selected Companies
AMAT,2023-02-16 08:30:00,,8.741970897527445,0.2132105461393597,0.0011746740279572,0.0623751908845295,0.008927522612475,0.0197345236696816,0.0046986961118289,0.0037589568894631,-0.7379730131387748,-1.0626115332207455,-0.43699947152329,1.7470761237069226,0.1572338252495703,-1.4479433649896605,-0.829282006141145,0.9329034731010724,1.0626115332207455,0.4191806643943477,0.7977572285257314,0.0914273315555883,0.0196717776987785,1,1,1,0.7553229061183545,1,0.5188191497056922,All Selected Companies
AMD,2023-01-31 17:00:00,,8.921598173515985,0.2361749542961609,0.0024238592053957,0.0575403098324375,0.0089577405416798,0.028137843819159,0.0067446517019707,0.0056907998735377,-0.8388761082654143,0.0249547052927637,1.4253066537249262,1.2824139930601126,0.4431269501198768,0.9775404701840024,0.7731713540598996,1.2830123420590347,-0.0249547052927637,0.1397271761669522,0.2091679618405925,0.0596644977336263,0.0251310104953602,1,0,1,0.7173296484830672,1,0.5322177256607838,All Selected Companies
AMD,2023-10-31 17:00:00,,9.45908720477962,0.2740174573055028,0.0023080151070079,0.0546579941250524,0.0062945866554762,0.0248636172891313,0.0074485942089802,0.0048258497691984,-0.2762636540242079,1.017348587083529,1.2233351718853585,0.8184636146843404,-1.2032521107114544,0.3015223253920727,1.13259997523288,0.3941078398679558,-1.017348587083529,-0.2998348004132603,-0.4488449263183191,0.6459644606083785,0.0278521620209016,1,0,1,0.6862182569700546,1,0.5025805286942884,All Selected Companies
AMD,2023-08-01 17:00:00,,9.356536920402082,0.2610022900763358,0.0010544074230282,0.0470265710670603,0.0072754112188949,0.0275200337410375,0.0049557148882328,0.004217629692113,-0.3836073649109912,0.676034686004617,-0.9623005670314048,-0.4099242424228026,-0.596899983661241,0.8499833757022363,-0.140248543054865,-0.230956614291805,-0.676034686004617,-0.4301995550691377,-0.6439975857740401,-0.1204389424117106,0.0252596597409368,0,0,1,0.749968554789699,1,0.501092907010122,All Selected Companies
AMD,2023-05-02 17:00:00,,9.266778514803434,0.2595817475728155,0.0027274710888064,0.0572768928649356,0.007200523674449,0.0220379663975561,0.0053458433340606,0.004254854898538,-0.4775612763869321,0.6387819258219903,1.9546468864169544,1.240013224320594,-0.6431959509095383,-0.2818799700917885,0.0589485901882242,-0.1927004727869848,-0.6387819258219903,-0.4363478916653023,-0.6532014863308871,0.4016172222031638,0.0307945336974879,1,0,1,0.7113742757529661,1,0.5284015953977789,All Selected Companies
