Ticker,CIK,Form Type,Filing Date,Accession Number,URL
BRK-B,0001067983,10-Q,2025-08-04,0000950170-25-101578,https://www.sec.gov/Archives/edgar/data/1067983/000095017025101578/0000950170-25-101578.txt
XOM,0000034088,10-Q,2025-08-04,0000034088-25-000042,https://www.sec.gov/Archives/edgar/data/34088/000003408825000042/0000034088-25-000042.txt
ABBV,0001551152,10-Q,2025-08-04,0001551152-25-000040,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000040/0001551152-25-000040.txt
MS,0000895421,10-Q,2025-08-04,0000895421-25-000440,https://www.sec.gov/Archives/edgar/data/895421/000089542125000440/0000895421-25-000440.txt
AAPL,0000320193,10-Q,2025-08-01,0000320193-25-000073,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/0000320193-25-000073.txt
AMZN,0001018724,10-Q,2025-08-01,0001018724-25-000086,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086.txt
GS,0000886982,10-Q,2025-08-01,0000886982-25-000022,https://www.sec.gov/Archives/edgar/data/886982/000088698225000022/0000886982-25-000022.txt
META,0001326801,10-Q,2025-07-31,0001628280-25-036791,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/0001628280-25-036791.txt
MA,0001141391,10-Q,2025-07-31,0001141391-25-000172,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000172/0001141391-25-000172.txt
BAC,0000070858,10-Q,2025-07-31,0000070858-25-000268,https://www.sec.gov/Archives/e  dgar/data/70858/000007085825000268/0000070858-25-000268.txt
V,0001403161,10-Q,2025-07-30,0001403161-25-000052,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000052/0001403161-25-000052.txt
ABT,0000001800,10-Q,2025-07-30,0001628280-25-036720,https://www.sec.gov/Archives/edgar/data/1800/000162828025036720/0001628280-25-036720.txt
PM,0001413329,10-Q,2025-07-25,0001413329-25-000150,https://www.sec.gov/Archives/edgar/data/1413329/000141332925000150/0001413329-25-000150.txt
GOOGL,0001652044,10-Q,2025-07-24,0001652044-25-000062,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062.txt
TSLA,0001318605,10-Q,2025-07-24,0001628280-25-035806,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035806/0001628280-25-035806.txt
JNJ,0000200406,10-Q,2025-07-24,0000200406-25-000178,https://www.sec.gov/Archives/edgar/data/200406/000020040625000178/0000200406-25-000178.txt
KO,0000021344,10-Q,2025-07-24,0000021344-25-000061,https://www.sec.gov/Archives/edgar/data/21344/000002134425000061/0000021344-25-000061.txt
IBM,0000051143,10-Q,2025-07-24,0000051143-25-000052,https://www.sec.gov/Archives/edgar/data/51143/000005114325000052/0000051143-25-000052.txt
TMUS,0001283699,10-Q,2025-07-23,0001283699-25-000117,https://www.sec.gov/Archives/edgar/data/1283699/000128369925000117/0001283699-25-000117.txt
GE,0000040545,10-Q,2025-07-21,0000040545-25-000111,https://www.sec.gov/Archives/edgar/data/40545/000004054525000111/0000040545-25-000111.txt
NFLX,0001065280,10-Q,2025-07-18,0001065280-25-000323,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000323/0001065280-25-000323.txt
AXP,0000004962,10-Q,2025-07-18,0000004962-25-000083,https://www.sec.gov/Archives/edgar/data/4962/000000496225000083/0000004962-25-000083.txt
AVGO,0001730168,10-Q,2025-06-11,0001730168-25-000064,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000064/0001730168-25-000064.txt
WMT,0000104169,10-Q,2025-06-06,0000104169-25-000090,https://www.sec.gov/Archives/edgar/data/104169/000010416925000090/0000104169-25-000090.txt
COST,0000909832,10-Q,2025-06-05,0000909832-25-000033,https://www.sec.gov/Archives/edgar/data/909832/000090983225000033/0000909832-25-000033.txt
CRM,0001108524,10-Q,2025-05-29,0001108524-25-000030,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000030/0001108524-25-000030.txt
NVDA,0001045810,10-Q,2025-05-28,0001045810-25-000116,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/0001045810-25-000116.txt
HD,0000354950,10-Q,2025-05-28,0000354950-25-000165,https://www.sec.gov/Archives/edgar/data/354950/000035495025000165/0000354950-25-000165.txt
CSCO,0000858877,10-Q,2025-05-20,0000858877-25-000033,https://www.sec.gov/Archives/edgar/data/858877/000085887725000033/0000858877-25-000033.txt
ABBV,0001551152,10-Q,2025-05-09,0001551152-25-000029,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000029/0001551152-25-000029.txt
CVX,0000093410,10-Q,2025-05-08,0000093410-25-000019,https://www.sec.gov/Archives/edgar/data/93410/000009341025000019/0000093410-25-000019.txt
UNH,0000731766,10-Q,2025-05-07,0000731766-25-000131,https://www.sec.gov/Archives/edgar/data/731766/000073176625000131/0000731766-25-000131.txt
AMD,0000002488,10-Q,2025-05-07,0000002488-25-000047,https://www.sec.gov/Archives/edgar/data/2488/000000248825000047/0000002488-25-000047.txt
APP,0001751008,10-Q,2025-05-07,0001751008-25-000053,https://www.sec.gov/Archives/edgar/data/1751008/000175100825000053/0001751008-25-000053.txt
PLTR,0001321655,10-Q,2025-05-06,0001321655-25-000066,https://www.sec.gov/Archives/edgar/data/1321655/000132165525000066/0001321655-25-000066.txt
BRK-B,0001067983,10-Q,2025-05-05,0000950170-25-063112,https://www.sec.gov/Archives/edgar/data/1067983/000095017025063112/0000950170-25-063112.txt
XOM,0000034088,10-Q,2025-05-05,0000034088-25-000024,https://www.sec.gov/Archives/edgar/data/34088/000003408825000024/0000034088-25-000024.txt
MS,0000895421,10-Q,2025-05-05,0000895421-25-000343,https://www.sec.gov/Archives/edgar/data/895421/000089542125000343/0000895421-25-000343.txt
AAPL,0000320193,10-Q,2025-05-02,0000320193-25-000057,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/0000320193-25-000057.txt
AMZN,0001018724,10-Q,2025-05-02,0001018724-25-000036,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/0001018724-25-000036.txt
GS,0000886982,10-Q,2025-05-02,0000886982-25-000009,https://www.sec.gov/Archives/edgar/data/886982/000088698225000009/0000886982-25-000009.txt
META,0001326801,10-Q,2025-05-01,0001326801-25-000054,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054.txt
JPM,0000019617,10-Q,2025-05-01,0000019617-25-000421,https://www.sec.gov/Archives/edgar/data/19617/000001961725000421/0000019617-25-000421.txt
LLY,0000059478,10-Q,2025-05-01,0000059478-25-000132,https://www.sec.gov/Archives/edgar/data/59478/000005947825000132/0000059478-25-000132.txt
MA,0001141391,10-Q,2025-05-01,0001141391-25-000090,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000090/0001141391-25-000090.txt
KO,0000021344,10-Q,2025-05-01,0000021344-25-000029,https://www.sec.gov/Archives/edgar/data/21344/000002134425000029/0000021344-25-000029.txt
MSFT,0000789019,10-Q,2025-04-30,0000950170-25-061046,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046.txt
V,0001403161,10-Q,2025-04-30,0001403161-25-000037,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000037/0001403161-25-000037.txt
BAC,0000070858,10-Q,2025-04-30,0000070858-25-000200,https://www.sec.gov/Archives/edgar/data/70858/000007085825000200/0000070858-25-000200.txt
ABT,0000001800,10-Q,2025-04-30,0001628280-25-021090,https://www.sec.gov/Archives/edgar/data/1800/000162828025021090/0001628280-25-021090.txt
WFC,0000072971,10-Q,2025-04-29,0000072971-25-000129,https://www.sec.gov/Archives/edgar/data/72971/000007297125000129/0000072971-25-000129.txt
GOOGL,0001652044,10-Q,2025-04-25,0001652044-25-000043,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043.txt
PG,0000080424,10-Q,2025-04-24,0000080424-25-000037,https://www.sec.gov/Archives/edgar/data/80424/000008042425000037/0000080424-25-000037.txt
TMUS,0001283699,10-Q,2025-04-24,0001283699-25-000079,https://www.sec.gov/Archives/edgar/data/1283699/000128369925000079/0001283699-25-000079.txt
IBM,0000051143,10-Q,2025-04-24,0000051143-25-000032,https://www.sec.gov/Archives/edgar/data/51143/000005114325000032/0000051143-25-000032.txt
PM,0001413329,10-Q,2025-04-24,0001413329-25-000094,https://www.sec.gov/Archives/edgar/data/1413329/000141332925000094/0001413329-25-000094.txt
TSLA,0001318605,10-Q,2025-04-23,0001628280-25-018911,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/0001628280-25-018911.txt
JNJ,0000200406,10-Q,2025-04-23,0000200406-25-000119,https://www.sec.gov/Archives/edgar/data/200406/000020040625000119/0000200406-25-000119.txt
GE,0000040545,10-Q,2025-04-22,0000040545-25-000062,https://www.sec.gov/Archives/edgar/data/40545/000004054525000062/0000040545-25-000062.txt
NFLX,0001065280,10-Q,2025-04-18,0001065280-25-000176,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000176/0001065280-25-000176.txt
AXP,0000004962,10-Q,2025-04-18,0000004962-25-000045,https://www.sec.gov/Archives/edgar/data/4962/000000496225000045/0000004962-25-000045.txt
COST,0000909832,10-Q,2025-03-13,0000909832-25-000015,https://www.sec.gov/Archives/edgar/data/909832/000090983225000015/0000909832-25-000015.txt
AVGO,0001730168,10-Q,2025-03-12,0001730168-25-000021,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000021/0001730168-25-000021.txt
ORCL,0001341439,10-Q,2025-03-11,0000950170-25-037143,https://www.sec.gov/Archives/edgar/data/1341439/000095017025037143/0000950170-25-037143.txt
CSCO,0000858877,10-Q,2025-02-18,0000858877-25-000007,https://www.sec.gov/Archives/edgar/data/858877/000085887725000007/0000858877-25-000007.txt
AAPL,0000320193,10-Q,2025-01-31,0000320193-25-000008,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/0000320193-25-000008.txt
V,0001403161,10-Q,2025-01-31,0001403161-25-000017,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000017/0001403161-25-000017.txt
MSFT,0000789019,10-Q,2025-01-29,0000950170-25-010491,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/0000950170-25-010491.txt
PG,0000080424,10-Q,2025-01-22,0000080424-25-000013,https://www.sec.gov/Archives/edgar/data/80424/000008042425000013/0000080424-25-000013.txt
COST,0000909832,10-Q,2024-12-19,0000909832-24-000079,https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/0000909832-24-000079.txt
ORCL,0001341439,10-Q,2024-12-10,0000950170-24-134973,https://www.sec.gov/Archives/edgar/data/1341439/000095017024134973/0000950170-24-134973.txt
WMT,0000104169,10-Q,2024-12-06,0000104169-24-000178,https://www.sec.gov/Archives/edgar/data/104169/000010416924000178/0000104169-24-000178.txt
CRM,0001108524,10-Q,2024-12-04,0001108524-24-000034,https://www.sec.gov/Archives/edgar/data/1108524/000110852424000034/0001108524-24-000034.txt
NVDA,0001045810,10-Q,2024-11-20,0001045810-24-000316,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/0001045810-24-000316.txt
HD,0000354950,10-Q,2024-11-19,0000354950-24-000240,https://www.sec.gov/Archives/edgar/data/354950/000035495024000240/0000354950-24-000240.txt
CSCO,0000858877,10-Q,2024-11-19,0000858877-24-000030,https://www.sec.gov/Archives/edgar/data/858877/000085887724000030/0000858877-24-000030.txt
CVX,0000093410,10-Q,2024-11-07,0000093410-24-000059,https://www.sec.gov/Archives/edgar/data/93410/000009341024000059/0000093410-24-000059.txt
APP,0001751008,10-Q,2024-11-06,0001751008-24-000062,https://www.sec.gov/Archives/edgar/data/1751008/000175100824000062/0001751008-24-000062.txt
PLTR,0001321655,10-Q,2024-11-05,0001321655-24-000209,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000209/0001321655-24-000209.txt
BRK-B,0001067983,10-Q,2024-11-04,0000950170-24-120241,https://www.sec.gov/Archives/edgar/data/1067983/000095017024120241/0000950170-24-120241.txt
XOM,0000034088,10-Q,2024-11-04,0000034088-24-000068,https://www.sec.gov/Archives/edgar/data/34088/000003408824000068/0000034088-24-000068.txt
ABBV,0001551152,10-Q,2024-11-04,0001551152-24-000040,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000040/0001551152-24-000040.txt
UNH,0000731766,10-Q,2024-11-04,0000731766-24-000323,https://www.sec.gov/Archives/edgar/data/731766/000073176624000323/0000731766-24-000323.txt
MS,0000895421,10-Q,2024-11-04,0000895421-24-000491,https://www.sec.gov/Archives/edgar/data/895421/000089542124000491/0000895421-24-000491.txt
GS,0000886982,10-Q,2024-11-04,0000886982-24-000025,https://www.sec.gov/Archives/edgar/data/886982/000088698224000025/0000886982-24-000025.txt
AMZN,0001018724,10-Q,2024-11-01,0001018724-24-000161,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/0001018724-24-000161.txt
META,0001326801,10-Q,2024-10-31,0001326801-24-000081,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000081/0001326801-24-000081.txt
MA,0001141391,10-Q,2024-10-31,0001141391-24-000202,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000202/0001141391-24-000202.txt
WFC,0000072971,10-Q,2024-10-31,0000072971-24-000243,https://www.sec.gov/Archives/edgar/data/72971/000007297124000243/0000072971-24-000243.txt
ABT,0000001800,10-Q,2024-10-31,0001628280-24-044602,https://www.sec.gov/Archives/edgar/data/1800/000162828024044602/0001628280-24-044602.txt
MSFT,0000789019,10-Q,2024-10-30,0000950170-24-118967,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/0000950170-24-118967.txt
GOOGL,0001652044,10-Q,2024-10-30,0001652044-24-000118,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/0001652044-24-000118.txt
JPM,0000019617,10-Q,2024-10-30,0000019617-24-000611,https://www.sec.gov/Archives/edgar/data/19617/000001961724000611/0000019617-24-000611.txt
LLY,0000059478,10-Q,2024-10-30,0000059478-24-000245,https://www.sec.gov/Archives/edgar/data/59478/000005947824000245/0000059478-24-000245.txt
AMD,0000002488,10-Q,2024-10-30,0000002488-24-000163,https://www.sec.gov/Archives/edgar/data/2488/000000248824000163/0000002488-24-000163.txt
IBM,0000051143,10-Q,2024-10-30,0000051143-24-000049,https://www.sec.gov/Archives/edgar/data/51143/000005114324000049/0000051143-24-000049.txt
BAC,0000070858,10-Q,2024-10-29,0000070858-24-000280,https://www.sec.gov/Archives/edgar/data/70858/000007085824000280/0000070858-24-000280.txt
TSLA,0001318605,10-Q,2024-10-24,0001628280-24-043486,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/0001628280-24-043486.txt
KO,0000021344,10-Q,2024-10-24,0000021344-24-000060,https://www.sec.gov/Archives/edgar/data/21344/000002134424000060/0000021344-24-000060.txt
PM,0001413329,10-Q,2024-10-24,0001413329-24-000172,https://www.sec.gov/Archives/edgar/data/1413329/000141332924000172/0001413329-24-000172.txt
JNJ,0000200406,10-Q,2024-10-23,0000200406-24-000096,https://www.sec.gov/Archives/edgar/data/200406/000020040624000096/0000200406-24-000096.txt
TMUS,0001283699,10-Q,2024-10-23,0001283699-24-000142,https://www.sec.gov/Archives/edgar/data/1283699/000128369924000142/0001283699-24-000142.txt
GE,0000040545,10-Q,2024-10-22,0000040545-24-000200,https://www.sec.gov/Archives/edgar/data/40545/000004054524000200/0000040545-24-000200.txt
NFLX,0001065280,10-Q,2024-10-18,0001065280-24-000287,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000287/0001065280-24-000287.txt
PG,0000080424,10-Q,2024-10-18,0000080424-24-000113,https://www.sec.gov/Archives/edgar/data/80424/000008042424000113/0000080424-24-000113.txt
AXP,0000004962,10-Q,2024-10-18,0000004962-24-000068,https://www.sec.gov/Archives/edgar/data/4962/000000496224000068/0000004962-24-000068.txt
AVGO,0001730168,10-Q,2024-09-11,0001730168-24-000099,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000099/0001730168-24-000099.txt
ORCL,0001341439,10-Q,2024-09-10,0000950170-24-104905,https://www.sec.gov/Archives/edgar/data/1341439/000095017024104905/0000950170-24-104905.txt
WMT,0000104169,10-Q,2024-08-30,0000104169-24-000141,https://www.sec.gov/Archives/edgar/data/104169/000010416924000141/0000104169-24-000141.txt
CRM,0001108524,10-Q,2024-08-29,0001108524-24-000022,https://www.sec.gov/Archives/edgar/data/1108524/000110852424000022/0001108524-24-000022.txt
NVDA,0001045810,10-Q,2024-08-28,0001045810-24-000264,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/0001045810-24-000264.txt
HD,0000354950,10-Q,2024-08-20,0000354950-24-000201,https://www.sec.gov/Archives/edgar/data/354950/000035495024000201/0000354950-24-000201.txt
UNH,0000731766,10-Q,2024-08-09,0000731766-24-000262,https://www.sec.gov/Archives/edgar/data/731766/000073176624000262/0000731766-24-000262.txt
LLY,0000059478,10-Q,2024-08-08,0000059478-24-000187,https://www.sec.gov/Archives/edgar/data/59478/000005947824000187/0000059478-24-000187.txt
ABBV,0001551152,10-Q,2024-08-07,0001551152-24-000031,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000031/0001551152-24-000031.txt
CVX,0000093410,10-Q,2024-08-07,0000093410-24-000040,https://www.sec.gov/Archives/edgar/data/93410/000009341024000040/0000093410-24-000040.txt
APP,0001751008,10-Q,2024-08-07,0001751008-24-000055,https://www.sec.gov/Archives/edgar/data/1751008/000175100824000055/0001751008-24-000055.txt
PLTR,0001321655,10-Q,2024-08-06,0001321655-24-000135,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000135/0001321655-24-000135.txt
BRK-B,0001067983,10-Q,2024-08-05,0000950170-24-090305,https://www.sec.gov/Archives/edgar/data/1067983/000095017024090305/0000950170-24-090305.txt
XOM,0000034088,10-Q,2024-08-05,0000034088-24-000050,https://www.sec.gov/Archives/edgar/data/34088/000003408824000050/0000034088-24-000050.txt
AAPL,0000320193,10-Q,2024-08-02,0000320193-24-000081,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/0000320193-24-000081.txt
AMZN,0001018724,10-Q,2024-08-02,0001018724-24-000130,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/0001018724-24-000130.txt
META,0001326801,10-Q,2024-08-01,0001326801-24-000069,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000069/0001326801-24-000069.txt
WFC,0000072971,10-Q,2024-08-01,0000072971-24-000185,https://www.sec.gov/Archives/edgar/data/72971/000007297124000185/0000072971-24-000185.txt
MA,0001141391,10-Q,2024-07-31,0001141391-24-000161,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000161/0001141391-24-000161.txt
TMUS,0001283699,10-Q,2024-07-31,0001283699-24-000111,https://www.sec.gov/Archives/edgar/data/1283699/000128369924000111/0001283699-24-000111.txt
AMD,0000002488,10-Q,2024-07-31,0000002488-24-000123,https://www.sec.gov/Archives/edgar/data/2488/000000248824000123/0000002488-24-000123.txt
ABT,0000001800,10-Q,2024-07-31,0001628280-24-033740,https://www.sec.gov/Archives/edgar/data/1800/000162828024033740/0001628280-24-033740.txt
IBM,0000051143,10-Q,2024-07-30,0000051143-24-000039,https://www.sec.gov/Archives/edgar/data/51143/000005114324000039/0000051143-24-000039.txt
KO,0000021344,10-Q,2024-07-29,0000021344-24-000044,https://www.sec.gov/Archives/edgar/data/21344/000002134424000044/0000021344-24-000044.txt
JNJ,0000200406,10-Q,2024-07-25,0000200406-24-000075,https://www.sec.gov/Archives/edgar/data/200406/000020040624000075/0000200406-24-000075.txt
PM,0001413329,10-Q,2024-07-25,0001413329-24-000145,https://www.sec.gov/Archives/edgar/data/1413329/000141332924000145/0001413329-24-000145.txt
GOOGL,0001652044,10-Q,2024-07-24,0001652044-24-000079,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/0001652044-24-000079.txt
TSLA,0001318605,10-Q,2024-07-24,0001628280-24-032662,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032662/0001628280-24-032662.txt
V,0001403161,10-Q,2024-07-24,0001403161-24-000041,https://www.sec.gov/Archives/edgar/data/1403161/000140316124000041/0001403161-24-000041.txt
GE,0000040545,10-Q,2024-07-23,0000040545-24-000176,https://www.sec.gov/Archives/edgar/data/40545/000004054524000176/0000040545-24-000176.txt
NFLX,0001065280,10-Q,2024-07-19,0001065280-24-000200,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000200/0001065280-24-000200.txt
AXP,0000004962,10-Q,2024-07-19,0000004962-24-000052,https://www.sec.gov/Archives/edgar/data/4962/000000496224000052/0000004962-24-000052.txt
AVGO,0001730168,10-Q,2024-06-13,0001730168-24-000080,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000080/0001730168-24-000080.txt
WMT,0000104169,10-Q,2024-06-07,0000104169-24-000105,https://www.sec.gov/Archives/edgar/data/104169/000010416924000105/0000104169-24-000105.txt
COST,0000909832,10-Q,2024-06-06,0000909832-24-000029,https://www.sec.gov/Archives/edgar/data/909832/000090983224000029/0000909832-24-000029.txt
KO,0000021344,10-Q/A,2024-05-30,0000021344-24-000019,https://www.sec.gov/Archives/edgar/data/21344/000002134424000019/0000021344-24-000019.txt
CRM,0001108524,10-Q,2024-05-30,0001108524-24-000009,https://www.sec.gov/Archives/edgar/data/1108524/000110852424000009/0001108524-24-000009.txt
NVDA,0001045810,10-Q,2024-05-29,0001045810-24-000124,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/0001045810-24-000124.txt
HD,0000354950,10-Q,2024-05-21,0000354950-24-000152,https://www.sec.gov/Archives/edgar/data/354950/000035495024000152/0000354950-24-000152.txt
CSCO,0000858877,10-Q,2024-05-21,0000858877-24-000007,https://www.sec.gov/Archives/edgar/data/858877/000085887724000007/0000858877-24-000007.txt
UNH,0000731766,10-Q,2024-05-09,0000731766-24-000155,https://www.sec.gov/Archives/edgar/data/731766/000073176624000155/0000731766-24-000155.txt
APP,0001751008,10-Q,2024-05-08,0001751008-24-000043,https://www.sec.gov/Archives/edgar/data/1751008/000175100824000043/0001751008-24-000043.txt
PLTR,0001321655,10-Q,2024-05-07,0001321655-24-000071,https://www.sec.gov/Archives/edgar/data/1321655/000132165524000071/0001321655-24-000071.txt
BRK-B,0001067983,10-Q,2024-05-06,0000950170-24-053185,https://www.sec.gov/Archives/edgar/data/1067983/000095017024053185/0000950170-24-053185.txt
AAPL,0000320193,10-Q,2024-05-03,0000320193-24-000069,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/0000320193-24-000069.txt
ABBV,0001551152,10-Q,2024-05-03,0001551152-24-000020,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000020/0001551152-24-000020.txt
CVX,0000093410,10-Q,2024-05-02,0000093410-24-000021,https://www.sec.gov/Archives/edgar/data/93410/000009341024000021/0000093410-24-000021.txt
KO,0000021344,10-Q,2024-05-02,0000021344-24-000017,https://www.sec.gov/Archives/edgar/data/21344/000002134424000017/0000021344-24-000017.txt
WFC,0000072971,10-Q,2024-05-02,0000072971-24-000129,https://www.sec.gov/Archives/edgar/data/72971/000007297124000129/0000072971-24-000129.txt
ABT,0000001800,10-Q,2024-05-02,0001628280-24-020011,https://www.sec.gov/Archives/edgar/data/1800/000162828024020011/0001628280-24-020011.txt
AMZN,0001018724,10-Q,2024-05-01,0001018724-24-000083,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/0001018724-24-000083.txt
MA,0001141391,10-Q,2024-05-01,0001141391-24-000087,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000087/0001141391-24-000087.txt
JNJ,0000200406,10-Q,2024-05-01,0000200406-24-000049,https://www.sec.gov/Archives/edgar/data/200406/000020040624000049/0000200406-24-000049.txt
AMD,0000002488,10-Q,2024-05-01,0000002488-24-000056,https://www.sec.gov/Archives/edgar/data/2488/000000248824000056/0000002488-24-000056.txt
LLY,0000059478,10-Q,2024-04-30,0000059478-24-000118,https://www.sec.gov/Archives/edgar/data/59478/000005947824000118/0000059478-24-000118.txt
IBM,0000051143,10-Q,2024-04-30,0000051143-24-000025,https://www.sec.gov/Archives/edgar/data/51143/000005114324000025/0000051143-24-000025.txt
XOM,0000034088,10-Q,2024-04-29,0000034088-24-000029,https://www.sec.gov/Archives/edgar/data/34088/000003408824000029/0000034088-24-000029.txt
